ID,heading,sortid,path
569,Alaska (Territory),570.5,3/0104/A3185
570,Alaska railroad,571.5,3/0104/A3186
571,Alavedra,572.5,3/0104/A3187
572,Alba,573.5,3/0104/A3188
573,Albacete,574.5,3/0104/A3189
574,Albania,575.5,5/0105/A3190
575,Albanian,576.5,5/0105/A3193
576,Albany,577.5,5/0105/A3194
577,Albany law,578.5,5/0105/A3195
578,Albee,579.5,5/0105/A3196
579,Alberdi,580.5,5/0105/A3197
580,Alberi,581.5,5/0106/A3198
581,Albert (Forename),582.5,5/0106/A3199
582,Albert (Surname),583.5,5/0106/A3200
583,Albert (Compound name),584.5,5/0106/A3201
584,Alberta,585.5,5/0106/A3202
585,Alberti,586.5,5/0106/A3203
586,"Alberti, R",587.5,5/0106/A3204
587,"Alberti, S",588.5,5/0107/A3212
588,Albertus,589.5,5/0107/A3213
589,Alberus,590.5,5/0107/A3214
590,Albignac,591.5,5/0107/A3215
591,Albion,592.5,5/0107/A3216
592,Albonetti,593.5,5/0107/A3217
593,Albrecht,594.5,5/0107/A3218
594,"Albrecht, H",595.5,5/0108/A3205
595,Albrecht (Compound name),596.5,5/0108/A3206
596,Albright,597.5,5/0108/A3207
597,Album,598.5,5/0108/A3208
598,Albums,599.5,5/0108/A3209
599,Alcala,600.5,5/0108/A3210
600,Alcaraz,601.5,5/0108/A3211
601,Alchemy,602.5,5/0109/A3219
602,Alchian,603.5,5/0109/A3220
603,Alckens,604.5,5/0109/A3221
604,Alcohol,605.5,5/0109/A3222
605,Alcoholics,606.5,5/0109/A3223
606,Alcoholism,607.5,5/0109/A3224
607,Alcoholism and ...,608.5,5/0109/A3225
608,Alcott,609.5,5/0110/A3226
609,Ald,610.5,5/0110/A3227
610,Alden,611.5,5/0110/A3228
611,Alder,612.5,5/0110/A3229
612,Aldington,613.5,5/0110/A3230
613,Aldred,614.5,5/0110/A3231
614,Aldrich,615.5,5/0111/A3192
615,"Aldrich, Thomas Bailey",616.5,sub
616,"Aldrich, Thomas Bailey (Subject)",617.5,5/0111/A3234
617,Aleardi,618.5,5/0111/A3235
618,Aleixandre,619.5,5/0111/A3236
